Player.Name,Position,Team,Tier,Position.Rank,Overall.Rank,Bye,ADP
Sample RB 01,RB,ARI,1,1,1,8,2
Sample WR 01,WR,ATL,1,1,2,12,1
Sample RB 02,RB,BAL,1,2,3,7,4
Sample WR 02,WR,BUF,1,2,4,7,3
Sample RB 03,RB,CAR,2,3,5,14,7
Sample WR 03,WR,CHI,2,3,6,5,5
Sample WR 04,WR,CIN,2,4,7,10,8
Sample RB 04,RB,CLE,2,4,8,9,10
Sample TE 01,TE,DAL,1,1,9,10,12
Sample WR 05,WR,DEN,2,5,10,12,9
Sample RB 05,RB,DET,2,5,11,8,11
Sample WR 06,WR,GB,3,6,12,5,15
Sample RB 06,RB,HOU,3,6,13,6,14
Sample QB 01,QB,IND,1,1,14,11,18
Sample WR 07,WR,JAX,3,7,15,8,16
Sample RB 07,RB,KC,3,7,16,10,13
Sample WR 08,WR,LAC,3,8,17,12,20
Sample RB 08,RB,LAR,3,8,18,8,19
Sample TE 02,TE,LV,2,2,19,8,22
Sample QB 02,QB,MIA,1,2,20,12,24
Sample WR 09,WR,MIN,4,9,21,6,17
Sample RB 09,RB,NE,4,9,22,14,21
Sample WR 10,WR,NO,4,10,23,11,26
Sample RB 10,RB,NYG,4,10,24,14,25
Sample QB 03,QB,NYJ,2,3,25,9,28
Sample TE 03,TE,PHI,2,3,26,9,29
Sample WR 11,WR,PIT,4,11,27,5,23
Sample RB 11,RB,SEA,4,11,28,8,27
Sample WR 12,WR,SF,5,12,29,14,31
Sample RB 12,RB,TB,5,12,30,9,30
Sample QB 04,QB,TEN,2,4,31,5,34
Sample TE 04,TE,WAS,3,4,32,12,36
Sample WR 13,WR,ARI,5,13,33,8,32
Sample RB 13,RB,ATL,5,13,34,12,33
Sample WR 14,WR,BAL,5,14,35,7,38
Sample RB 14,RB,BUF,5,14,36,7,35
Sample QB 05,QB,CAR,3,5,37,14,40
Sample TE 05,TE,CHI,3,5,38,5,42
Sample WR 15,WR,CIN,6,15,39,10,37
Sample RB 15,RB,CLE,6,15,40,9,39
Sample K 01,K,DAL,1,1,171,10,173
Sample K 02,K,DET,1,2,172,8,176
Sample DEF 01,DEF,PHI,1,1,173,9,169
Sample DEF 02,DEF,PIT,1,2,174,5,172
